我感到惊讶,I feel astonished,High arousal
我感到震惊,I feel alarmed,High arousal
我很生气,I feel angry,High arousal
我觉得很兴奋,I feel excited,High arousal
我感到害怕,I feel afraid,High arousal
我很惊讶,I am astonished,High arousal
我很震惊,I am alarmed,High arousal
我很愤怒,I am angry,High arousal
我很兴奋,I am excited,High arousal
恐怕,I am afraid,High arousal
我们感到惊讶,we feel astonished,High arousal
我们感到震惊,we feel alarmed,High arousal
我们感到生气,we feel angry,High arousal
我们感到兴奋,we feel excited,High arousal
我们感到害怕,we feel afraid,High arousal
我们很惊讶,we are astonished,High arousal
我们很震惊,we are alarmed,High arousal
我们很生气,we are angry,High arousal
我们很兴奋,we are excited,High arousal
我们害怕,we are afraid,High arousal
我累了,I feel tired,Low arousal
我困了,I feel sleepy,Low arousal
我感到镇定,I feel calm,Low arousal
我感到满意,I feel satisfied,Low arousal
我感到沮丧,I feel depressed,Low arousal
我累了,I am tired,Low arousal
我困了,I am sleepy,Low arousal
我很平静,I am calm,Low arousal
我很满意,I am satisfied,Low arousal
我很郁闷,I am depressed,Low arousal
我们感到很累,we feel tired,Low arousal
我们感到困倦,we feel sleepy,Low arousal
我们感到镇定,we feel calm,Low arousal
我们感到满意,we feel satisfied,Low arousal
我们感到沮丧,we feel depressed,Low arousal
我们累了,we are tired,Low arousal
我们困了,we are sleepy,Low arousal
我们很镇定,we are calm,Low arousal
我们很满意,we are satisfied,Low arousal
我们很沮丧,we are depressed,Low arousal
我感到惊讶,I feel astonished,I
我感到震惊,I feel alarmed,I
我很生气,I feel angry,I
我觉得很兴奋,I feel excited,I
我感到害怕,I feel afraid,I
我很惊讶,I am astonished,I
我很震惊,I am alarmed,I
我很愤怒,I am angry,I
我很兴奋,I am excited,I
恐怕,I am afraid,I
我累了,I feel tired,I
我困了,I feel sleepy,I
我感到镇定,I feel calm,I
我感到满意,I feel satisfied,I
我感到沮丧,I feel depressed,I
我累了,I am tired,I
我困了,I am sleepy,I
我很平静,I am calm,I
我很满意,I am satisfied,I
我很郁闷,I am depressed,I
我们感到惊讶,we feel astonished,WE
我们感到震惊,we feel alarmed,WE
我们感到生气,we feel angry,WE
我们感到兴奋,we feel excited,WE
我们感到害怕,we feel afraid,WE
我们很惊讶,we are astonished,WE
我们很震惊,we are alarmed,WE
我们很生气,we are angry,WE
我们很兴奋,we are excited,WE
我们害怕,we are afraid,WE
我们感到很累,we feel tired,WE
我们感到困倦,we feel sleepy,WE
我们感到镇定,we feel calm,WE
我们感到满意,we feel satisfied,WE
我们感到沮丧,we feel depressed,WE
我们累了,we are tired,WE
我们困了,we are sleepy,WE
我们很镇定,we are calm,WE
我们很满意,we are satisfied,WE
我们很沮丧,we are depressed,WE
