Me siento asombrado,I feel astonished,High arousal
Me siento alarmado,I feel alarmed,High arousal
Me siento enojado,I feel angry,High arousal
Estoy emocionado,I feel excited,High arousal
tengo miedo,I feel afraid,High arousal
estoy asombrado,I am astonished,High arousal
Estoy alarmado,I am alarmed,High arousal
Estoy enojado,I am angry,High arousal
estoy muy emocionado,I am excited,High arousal
tengo miedo,I am afraid,High arousal
Nos sentimos asombrados,we feel astonished,High arousal
Nos sentimos alarmados,we feel alarmed,High arousal
Nos sentimos enojados,we feel angry,High arousal
Nos sentimos emocionados,we feel excited,High arousal
Nos sentimos asustados,we feel afraid,High arousal
Estamos asombrados,we are astonished,High arousal
Estamos alarmados,we are alarmed,High arousal
estamos enfadados,we are angry,High arousal
Estamos emocionados,we are excited,High arousal
tenemos miedo,we are afraid,High arousal
me siento cansado,I feel tired,Low arousal
Tengo sueño,I feel sleepy,Low arousal
me siento calmado,I feel calm,Low arousal
Me siento satisfecho,I feel satisfied,Low arousal
me siento deprimido,I feel depressed,Low arousal
estoy cansado,I am tired,Low arousal
tengo sueño,I am sleepy,Low arousal
Estoy calmado,I am calm,Low arousal
Estoy satisfecho,I am satisfied,Low arousal
Estoy deprimido,I am depressed,Low arousal
Nos sentimos cansados,we feel tired,Low arousal
Nos sentimos somnolientos,we feel sleepy,Low arousal
Nos sentimos tranquilos,we feel calm,Low arousal
Nos sentimos satisfechos,we feel satisfied,Low arousal
Nos sentimos deprimidos,we feel depressed,Low arousal
estamos cansados,we are tired,Low arousal
Estamos somnolientos,we are sleepy,Low arousal
estamos calmados,we are calm,Low arousal
estamos satisfechos,we are satisfied,Low arousal
Estamos deprimidos,we are depressed,Low arousal
Me siento asombrado,I feel astonished,I
Me siento alarmado,I feel alarmed,I
Me siento enojado,I feel angry,I
Estoy emocionado,I feel excited,I
tengo miedo,I feel afraid,I
estoy asombrado,I am astonished,I
Estoy alarmado,I am alarmed,I
Estoy enojado,I am angry,I
estoy muy emocionado,I am excited,I
tengo miedo,I am afraid,I
me siento cansado,I feel tired,I
Tengo sueño,I feel sleepy,I
me siento calmado,I feel calm,I
Me siento satisfecho,I feel satisfied,I
me siento deprimido,I feel depressed,I
estoy cansado,I am tired,I
tengo sueño,I am sleepy,I
Estoy calmado,I am calm,I
Estoy satisfecho,I am satisfied,I
Estoy deprimido,I am depressed,I
Nos sentimos asombrados,we feel astonished,WE
Nos sentimos alarmados,we feel alarmed,WE
Nos sentimos enojados,we feel angry,WE
Nos sentimos emocionados,we feel excited,WE
Nos sentimos asustados,we feel afraid,WE
Estamos asombrados,we are astonished,WE
Estamos alarmados,we are alarmed,WE
estamos enfadados,we are angry,WE
Estamos emocionados,we are excited,WE
tenemos miedo,we are afraid,WE
Nos sentimos cansados,we feel tired,WE
Nos sentimos somnolientos,we feel sleepy,WE
Nos sentimos tranquilos,we feel calm,WE
Nos sentimos satisfechos,we feel satisfied,WE
Nos sentimos deprimidos,we feel depressed,WE
estamos cansados,we are tired,WE
Estamos somnolientos,we are sleepy,WE
estamos calmados,we are calm,WE
estamos satisfechos,we are satisfied,WE
Estamos deprimidos,we are depressed,WE
