me siento feliz,I feel happy,Positive valence
Me siento complacido,I feel pleased,Positive valence
Me siento encantado,I feel delighted,Positive valence
Me siento satisfecho,I feel satisfied,Positive valence
Estoy emocionado,I feel excited,Positive valence
Yo estoy feliz,I am happy,Positive valence
encantada,I am pleased,Positive valence
Estoy encantado,I am delighted,Positive valence
Estoy satisfecho,I am satisfied,Positive valence
estoy muy emocionado,I am excited,Positive valence
Nos sentimos felices,We feel happy,Positive valence
Nos sentimos complacidos,We feel pleased,Positive valence
Nos sentimos encantados,We feel delighted,Positive valence
Nos sentimos satisfechos,We feel satisfied,Positive valence
Nos sentimos emocionados,We feel excited,Positive valence
Estamos felices,We are happy,Positive valence
Estamos agradecidos,We are pleased,Positive valence
Estamos encantados,We are delighted,Positive valence
Estamos satisfechos,We are satisfied,Positive valence
Estamos emocionados,We are excited,Positive valence
me siento miserable,I feel miserable,Negative valence
me siento frustrado,I feel frustrated,Negative valence
me siento triste,I feel sad,Negative valence
me siento deprimido,I feel depressed,Negative valence
tengo miedo,I feel afraid,Negative valence
soy miserable,I am miserable,Negative valence
estoy frustrado,I am frustrated,Negative valence
estoy triste,I am sad,Negative valence
Estoy deprimido,I am depressed,Negative valence
tengo miedo,I am afraid,Negative valence
Nos sentimos miserables,We feel miserable,Negative valence
Nos sentimos frustrados,We feel frustrated,Negative valence
Nos sentimos tristes,We feel sad,Negative valence
Nos sentimos deprimidos,We feel depressed,Negative valence
Nos sentimos asustados,We feel afraid,Negative valence
Somos miserables,We are miserable,Negative valence
Estamos frustrados,We are frustrated,Negative valence
Estamos tristes,We are sad,Negative valence
Estamos deprimidos,We are depressed,Negative valence
Tenemos miedo,We are afraid,Negative valence
me siento feliz,I feel happy,I
Me siento complacido,I feel pleased,I
Me siento encantado,I feel delighted,I
Me siento satisfecho,I feel satisfied,I
Estoy emocionado,I feel excited,I
Yo estoy feliz,I am happy,I
encantada,I am pleased,I
Estoy encantado,I am delighted,I
Estoy satisfecho,I am satisfied,I
estoy muy emocionado,I am excited,I
me siento miserable,I feel miserable,I
me siento frustrado,I feel frustrated,I
me siento triste,I feel sad,I
me siento deprimido,I feel depressed,I
tengo miedo,I feel afraid,I
soy miserable,I am miserable,I
estoy frustrado,I am frustrated,I
estoy triste,I am sad,I
Estoy deprimido,I am depressed,I
tengo miedo,I am afraid,I
Nos sentimos felices,We feel happy,WE
Nos sentimos complacidos,We feel pleased,WE
Nos sentimos encantados,We feel delighted,WE
Nos sentimos satisfechos,We feel satisfied,WE
Nos sentimos emocionados,We feel excited,WE
Estamos felices,We are happy,WE
Estamos agradecidos,We are pleased,WE
Estamos encantados,We are delighted,WE
Estamos satisfechos,We are satisfied,WE
Estamos emocionados,We are excited,WE
Nos sentimos miserables,We feel miserable,WE
Nos sentimos frustrados,We feel frustrated,WE
Nos sentimos tristes,We feel sad,WE
Nos sentimos deprimidos,We feel depressed,WE
Nos sentimos asustados,We feel afraid,WE
Somos miserables,We are miserable,WE
Estamos frustrados,We are frustrated,WE
Estamos tristes,We are sad,WE
Estamos deprimidos,We are depressed,WE
Tenemos miedo,We are afraid,WE
