私は幸せを感じます,I feel happy,Positive valence
私は喜んでいると感じます,I feel pleased,Positive valence
喜んでいます,I feel delighted,Positive valence
私は満足していると感じています,I feel satisfied,Positive valence
わくわくしてるよ,I feel excited,Positive valence
私は幸せです,I am happy,Positive valence
私は満足している,I am pleased,Positive valence
私は嬉しく思います,I am delighted,Positive valence
私は満足しています,I am satisfied,Positive valence
わくわくしてます,I am excited,Positive valence
私たちは幸せを感じます,We feel happy,Positive valence
私たちは喜んでいると感じています,We feel pleased,Positive valence
私たちは喜んでいます,We feel delighted,Positive valence
私たちは満足していると感じています,We feel satisfied,Positive valence
興奮しています,We feel excited,Positive valence
我々は満足している,We are happy,Positive valence
我々は満足しています,We are pleased,Positive valence
我々は喜んでいます,We are delighted,Positive valence
私たちは満足しています,We are satisfied,Positive valence
私たちは興奮しています,We are excited,Positive valence
私は惨めに感じます,I feel miserable,Negative valence
イライラします,I feel frustrated,Negative valence
悲しいな,I feel sad,Negative valence
私は落ち込んでいます,I feel depressed,Negative valence
私は恐れていると感じます,I feel afraid,Negative valence
私は悲惨です,I am miserable,Negative valence
私はイライラしています,I am frustrated,Negative valence
悲しいです,I am sad,Negative valence
私は落ち込んでいます,I am depressed,Negative valence
怖いです,I am afraid,Negative valence
私たちは惨めに感じます,We feel miserable,Negative valence
私たちはイライラします,We feel frustrated,Negative valence
私たちは悲しいです,We feel sad,Negative valence
落ち込んでいると感じます,We feel depressed,Negative valence
私たちは恐れています,We feel afraid,Negative valence
私たちは悲惨です,We are miserable,Negative valence
私たちはイライラしています,We are frustrated,Negative valence
私たちは悲しい,We are sad,Negative valence
私たちは落ち込んでいます,We are depressed,Negative valence
私たちは恐れています,We are afraid,Negative valence
私は幸せを感じます,I feel happy,I
私は喜んでいると感じます,I feel pleased,I
喜んでいます,I feel delighted,I
私は満足していると感じています,I feel satisfied,I
わくわくしてるよ,I feel excited,I
私は幸せです,I am happy,I
私は満足している,I am pleased,I
私は嬉しく思います,I am delighted,I
私は満足しています,I am satisfied,I
わくわくしてます,I am excited,I
私は惨めに感じます,I feel miserable,I
イライラします,I feel frustrated,I
悲しいな,I feel sad,I
私は落ち込んでいます,I feel depressed,I
私は恐れていると感じます,I feel afraid,I
私は悲惨です,I am miserable,I
私はイライラしています,I am frustrated,I
悲しいです,I am sad,I
私は落ち込んでいます,I am depressed,I
怖いです,I am afraid,I
私たちは幸せを感じます,We feel happy,WE
私たちは喜んでいると感じています,We feel pleased,WE
私たちは喜んでいます,We feel delighted,WE
私たちは満足していると感じています,We feel satisfied,WE
興奮しています,We feel excited,WE
我々は満足している,We are happy,WE
我々は満足しています,We are pleased,WE
我々は喜んでいます,We are delighted,WE
私たちは満足しています,We are satisfied,WE
私たちは興奮しています,We are excited,WE
私たちは惨めに感じます,We feel miserable,WE
私たちはイライラします,We feel frustrated,WE
私たちは悲しいです,We feel sad,WE
落ち込んでいると感じます,We feel depressed,WE
私たちは恐れています,We feel afraid,WE
私たちは悲惨です,We are miserable,WE
私たちはイライラしています,We are frustrated,WE
私たちは悲しい,We are sad,WE
私たちは落ち込んでいます,We are depressed,WE
私たちは恐れています,We are afraid,WE
